id	id_shelf	level					
357	8	1					
358	8	1					
359	8	2					
360	8	1					
361	8	1					
362	8	2					
363	8	2					
364	8	2					
365	8	2					
366	8	1					
367	8	1					
368	8	1					
369	8	1					
370	8	1					
371	8	2					
372	8	1					
373	8	1					
374	8	2					
375	8	2					
376	8	2					
377	8	2					
378	9	1					
379	9	1					
380	9	1					
381	9	1					
382	9	1					
383	9	2					
384	9	1					
385	9	1					
386	9	2					
387	9	2					
388	9	2					
389	9	2					
390	9	1					
391	9	1					
392	9	1					
393	9	1					
394	9	1					
395	9	2					
396	9	1					
397	9	1					
398	9	2					
399	9	2					
400	9	2					
401	9	2					
402	9	1					
403	9	1					
404	9	1					
405	9	1					
406	9	1					
407	9	2					
408	9	1					
409	9	1					
410	9	2					
411	9	2					
412	9	2					
413	9	2					
414	9	1					
415	9	1					
416	9	1					
417	9	1					
418	9	1					
419	9	2					
420	10	1					
421	10	1					
422	10	2					
423	10	2					
424	10	2					
425	10	2					
426	10	1					
427	10	1					
428	10	1					
429	10	1					
430	10	1					
431	10	2					
432	10	2					
433	10	1					
434	10	1					
435	10	2					
436	10	2					
437	10	2					
438	10	2					
439	10	1					
440	10	1					
441	10	1					
442	10	1					
443	10	1					
444	10	2					
445	10	1					
446	10	1					
447	10	2					
448	10	2					
449	10	2					
450	10	2					
451	10	1					
452	10	1					
453	10	1					
454	10	1					
455	10	1					
456	10	2					
457	10	2					
458	10	1					
459	10	1					
460	10	2					
461	10	2					
462	11	2					
463	11	2					
464	11	1					
465	11	1					
466	11	1					
467	11	1					
468	11	1					
469	11	2					
470	11	1					
471	11	1					
472	11	2					
473	11	2					
474	11	2					
475	11	2					
476	11	1					
477	11	1					
478	11	1					
479	11	1					
480	11	1					
481	11	2					
482	11	2					
483	11	1					
484	11	1					
485	11	2					
486	11	2					
487	11	2					
488	11	2					
489	11	1					
490	11	1					
491	11	1					
492	11	1					
493	11	1					
494	11	2					
495	11	1					
496	11	1					
497	11	2					
498	11	2					
499	11	2					
500	11	2					
501	11	1					
502	11	1					
503	11	1					
